,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
183,400155,Hotel Transylvania 3: Summer Vacation,2018-06-30,Animation,6.8,1940,528583774,167510016,361073758,31.7,68.3
184,400535,Sicario: Day of the Soldado,2018-06-29,Action,6.7,1556,75836683,50072235,25764448,66.0,34.0
185,400579,Tully,2018-05-04,Comedy,6.9,732,15636462,9369755,6266707,59.9,40.1
186,400650,Mary Poppins Returns,2018-12-19,Comedy,6.6,1867,349537494,171958438,177579056,49.2,50.8
187,401469,Widows,2018-11-16,Crime,6.5,1211,75984700,42402632,33582068,55.8,44.2
188,401847,Can You Ever Forgive Me?,2018-10-19,Comedy,6.8,635,12442161,8803865,3638296,70.8,29.2
189,401981,Red Sparrow,2018-03-02,Mystery,6.5,3766,151572634,46874505,104698129,30.9,69.1
190,402900,Ocean's Eight,2018-06-08,Action,6.9,4330,297718711,140218711,157500000,47.1,52.9
191,404368,Ralph Breaks the Internet,2018-11-21,Adventure,7.2,3475,529323962,201091711,328232251,38.0,62.0
192,404782,Altered Perception,2018-05-04,Science Fiction,6.5,3,1259,1259,0,100.0,0.0
193,406563,Insidious: The Last Key,2018-01-05,Horror,6.1,1468,167885588,67745330,100140258,40.4,59.6
194,406761,Hotel Artemis,2018-06-08,Action,5.9,653,13313581,6708147,6605434,50.4,49.6
195,406997,Wonder,2017-11-17,Drama,8.2,4386,279415,100780,178635,36.1,63.9
197,407451,A Wrinkle in Time,2018-03-09,Adventure,5.0,1179,132675864,100478608,32197256,75.7,24.3
198,407719,Golden Exits,2018-02-09,Drama,6.3,26,41888,41888,0,100.0,0.0
199,407890,Lean on Pete,2018-04-06,Adventure,6.9,153,2443584,1163056,1280528,47.6,52.4
200,408873,Kings,2018-04-27,Crime,6.1,72,90040771,262963,89777808,0.3,99.7
202,412302,Gemini,2018-03-30,Crime,5.6,72,200340,200340,0,100.0,0.0
203,412988,The Happytime Murders,2018-08-24,Action,5.6,507,27506452,20706452,6800000,75.3,24.7
204,414001,The Mercy,2018-11-30,Adventure,5.9,133,306205,29538,276667,9.6,90.4
205,414018,Damsel,2018-06-22,Comedy,5.0,35,323235,305136,18099,94.4,5.6
206,414454,Submission,2018-03-02,Drama,6.5,13,39985,39985,0,100.0,0.0
207,415401,The Party,2018-02-16,Comedy,6.4,247,65859911,53059911,12800000,80.6,19.4
209,416194,The Quake,2018-12-14,Action,6.5,144,13747547,6235,13741312,0.0,100.0
210,416234,Winchester,2018-02-02,Fantasy,5.8,980,44019588,25091816,18927772,57.0,43.0
211,416494,Status Update,2018-02-09,Comedy,6.8,152,416178,4764,411414,1.1,98.9
212,417261,Forever My Girl,2018-01-26,Drama,7.4,492,16376066,16376066,0,100.0,0.0
213,417643,In Darkness,2018-05-25,Thriller,6.1,258,7414178,5728940,1685238,77.3,22.7
214,417812,Wildlife,2018-10-19,Drama,6.8,228,3231638,1050616,2181022,32.5,67.5
215,419478,Midnight Sun,2018-03-23,Drama,7.7,1864,27365467,9561064,17804403,34.9,65.1
216,419743,Disobedience,2018-04-27,Drama,6.9,471,7870127,3498782,4371345,44.5,55.5
217,420814,Christopher Robin,2018-08-03,Adventure,7.4,1554,197744377,99215042,98529335,50.2,49.8
218,420915,Yardie,2018-01-20,Crime,5.9,24,1551163,36012,1515151,2.3,97.7
219,421471,Flower,2018-03-16,Comedy,6.5,108,2569927,18539,2551388,0.7,99.3
222,422540,Jean,2018-08-01,Adventure,0.0,0,195517,166616,28901,85.2,14.8
223,422708,Let the Corpses Tan,2018-08-31,Thriller,6.2,41,93409,93409,0,100.0,0.0
224,424121,Apostle,2018-09-21,Fantasy,6.1,662,23039243,17560475,5478768,76.2,23.8
225,424139,Halloween,2018-10-19,Horror,6.4,2413,255485178,159342015,96143163,62.4,37.6
227,424694,Bohemian Rhapsody,2018-11-02,Drama,8.0,9339,903655259,216428042,687227217,24.0,76.0
228,424781,Sorry to Bother You,2018-07-06,Comedy,6.9,629,18170707,17493096,677611,96.3,3.7
229,424783,Bumblebee,2018-12-21,Action,6.5,3095,467989645,127195589,340794056,27.2,72.8
230,425148,Show Dogs,2018-05-18,Adventure,5.9,110,39156854,17857020,21299834,45.6,54.4
231,425336,Loving Pablo,2018-06-15,Crime,6.2,578,17535962,22017,17513945,0.1,99.9
232,425373,The Miracle Season,2018-04-13,Drama,7.2,139,10230620,10230620,0,100.0,0.0
233,425505,Kin,2018-08-31,Action,6.1,388,1308467944,417719760,890748184,31.9,68.1
249,426030,Finding Your Feet,2018-03-30,Comedy,7.2,69,15845593,1418682,14426911,9.0,91.0
250,426251,Love After Love,2018-03-30,Drama,5.8,7,121098,121098,0,100.0,0.0
251,426426,Roma,2018-11-21,Drama,7.8,2224,1148031,0,1148031,0.0,100.0
252,426543,The Nutcracker and the Four Realms,2018-11-02,Adventure,6.0,1172,173961069,54858851,119102218,31.5,68.5
253,426563,Holmes & Watson,2018-12-25,Adventure,4.4,330,40466970,30573626,9893344,75.6,24.4
254,426613,The Miseducation of Cameron Post,2018-08-03,Drama,7.0,408,1451729,904703,547026,62.3,37.7
255,426618,Where Hands Touch,2018-09-14,Drama,7.6,131,128269,67743,60526,52.8,47.2
256,427214,The Happy Prince,2018-10-05,Drama,6.8,86,2621992,466440,2155552,17.8,82.2
257,427641,Rampage,2018-04-13,Action,6.2,3562,428028233,101028233,327000000,23.6,76.4
258,428078,Mortal Engines,2018-12-14,Adventure,6.1,2324,83672673,15951040,67721633,19.1,80.9
259,429195,Dark River,2018-06-29,Thriller,6.0,37,239182,7714,231468,3.2,96.8
260,429197,Vice,2018-12-25,Comedy,7.1,1672,76073488,47836282,28237206,62.9,37.1
261,429202,Vox Lux,2018-12-07,Drama,5.9,158,1399272,727119,672153,52.0,48.0
262,429203,The Old Man & the Gun,2018-09-28,Comedy,6.3,672,17860397,11277120,6583277,63.1,36.9
