,movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
147,363088,Ant-Man and the Wasp,2018-07-06,28,30.011,7.0,7337,11,Ant-Man and the Wasp,622674139,216648740,406025399,34.8,65.2
148,367153,Poor Boy,2018-07-13,18,2.668,5.0,3,738,Poor Boy,31031,31031,0,100.0,0.0
150,369972,First Man,2018-10-12,18,21.741,7.1,2869,59,First Man,105697415,44936545,60760870,42.5,57.5
151,370567,Sherlock Gnomes,2018-03-23,16,15.878,5.5,395,73,Sherlock Gnomes,90345871,43242871,47103000,47.9,52.1
152,370756,Always at The Carlyle,2018-05-11,99,3.241,7.0,3,563,Always at The Carlyle,174251,174251,0,100.0,0.0
153,371608,The Strangers: Prey at Night,2018-03-09,27,15.817,5.4,738,135,The Strangers: Prey at Night,31039126,24586708,6452418,79.2,20.8
154,373209,Izzy Gets the F*ck Across Town,2018-06-22,35,4.381,6.1,24,776,Izzy Gets the F*ck Across Town,20208,20208,0,100.0,0.0
155,373449,2.0,2018-11-29,28,6.002999999999999,6.1,49,211,2.0,10847903,4152000,6695903,38.3,61.7
156,375262,The Favourite,2018-11-23,18,24.44,7.6,2657,65,The Favourite,95918706,34366783,61551923,35.8,64.2
157,375588,Robin Hood,2018-11-21,28,28.491999999999997,5.8,1585,76,Robin Hood,85882380,30824628,55057752,35.9,64.1
158,378631,Like Me,2018-01-25,80,2.408,5.9,21,813,Like Me,12965,12965,0,100.0,0.0
159,381719,Peter Rabbit,2018-02-09,12,13.800999999999998,6.5,741,28,Peter Rabbit,351266433,115253424,236013009,32.8,67.2
160,383498,Deadpool 2,2018-05-10,28,37.399,7.5,9966,9,Deadpool 2,734546611,318491426,416055185,43.4,56.6
162,385360,Billionaire Boys Club,2018-08-03,18,9.408,5.5,173,300,Billionaire Boys Club,2713955,1349,2712606,0.0,100.0
163,385448,The Little Mermaid,2018-08-17,12,15.077,4.9,561,302,The Little Mermaid,2610742,147175,2463567,5.6,94.4
164,385955,Where Is Kyra?,2018-04-06,18,5.162999999999999,5.8,25,680,Where Is Kyra?,59717,59717,0,100.0,0.0
165,387592,Early Man,2018-02-16,12,11.304,6.0,378,99,Early Man,54622814,8267544,46355270,15.1,84.9
166,391714,On Chesil Beach,2018-05-18,18,6.9879999999999995,6.1,122,286,On Chesil Beach,3335913,745971,2589942,22.4,77.6
167,393425,Intersection,2018-06-15,80,1.54,0.0,1,859,Intersection,5116,5116,0,100.0,0.0
168,393834,Goldstone,2018-03-02,80,6.564,6.0,50,642,Goldstone 2018 Re-release,87639,87639,0,100.0,0.0
